REF001   109.69.104.195 20001
REF002   129.93.2.132 20001
REF003   203.194.18.195 20001
REF004   74.204.50.19 20001
REF005   109.69.104.193 20001
REF006   78.158.56.61 20001
REF007   208.111.3.180 20001
REF008   58.1.235.43 20001
REF009   204.89.198.18 20001
REF010   70.233.76.110 20001
REF011   213.203.177.246 20001
REF012   209.112.244.26 20001
REF014   64.250.229.185 20001
REF015   109.69.104.196 20001
REF016   204.244.106.103 20001
REF017   80.69.86.233 20001
REF018   187.50.254.20 20001
REF019   208.87.120.144 20001
REF020   50.199.88.20 20001
REF023   202.191.108.226 20001
REF024   69.41.0.15 20001
REF025   173.10.178.226 20001
REF026   206.12.104.8 20001
REF027   194.116.29.72 20001
REF028   193.190.240.229 20001
REF029   129.123.7.138 20001
REF030   64.16.212.14 20001
REF031   212.112.188.111 20001
REF032   95.160.171.254 20001
REF033   208.67.255.202 20001
REF035   146.129.247.243 20001
REF036   195.194.238.109 20001
REF037   208.111.3.181 20001
REF038   66.6.171.227 20001
REF039   208.93.191.20 20001
REF041   129.105.15.195 20001
REF045   195.251.201.194 20001
REF046   208.111.3.182 20001
REF047   157.7.142.13 20001
REF048   208.88.66.244 20001
REF050   75.147.26.195 20001
REF051   50.57.153.17 20001
REF052   216.207.94.13 20001
REF053   69.67.29.232 20001
REF054   216.249.104.190 20001
REF055   207.251.62.205 20001
REF058   131.204.255.253 20001
REF060   50.194.6.1 20001
REF061   64.150.149.59 20001
REF062   70.88.145.165 20001
REF063   205.201.0.4 20001
XRF000   141.22.15.29 20001
XRF001   75.76.90.90 20001
XRF002   91.201.57.233 20001
XRF003   95.110.226.76 20001
XRF004   96.36.58.9 20001
XRF005   216.16.240.236 20001
XRF006   80.62.20.151 20001
XRF007   84.232.6.94 20001
XRF008   95.110.231.219 20001
XRF009   141.22.15.29 20001
XRF010   87.106.48.7 20001
XRF011   87.106.3.249 20001
XRF012   96.126.101.188 20001
XRF013   202.191.108.233 20001
XRF017   87.253.159.114 20001
XRF018   199.167.129.166 20001
XRF019   66.30.81.236 20001
XRF020   204.244.106.101 20001
XRF021   74.204.50.67 20001
XRF023   141.75.245.225 20001
XRF025   63.133.189.2 20001
XRF026   139.13.100.34 20001
XRF027   194.116.29.66 20001
XRF028   193.190.240.228 20001
XRF031   83.241.141.245 20001
XRF033   46.226.178.81 20001
XRF038   66.6.171.228 20001
XRF044   82.1.185.173 20001
XRF055   95.110.229.195 20001
XRF069   91.142.221.75 20001
XRF073   147.102.7.34 20001
XRF090   46.37.185.184 20001
XRF099   76.71.89.114 20001
XRF119   192.210.137.151 20001
XRF121   192.254.139.186 20001
XRF123   213.126.90.100 20001
XRF310   199.167.193.147 20001
XRF333   37.187.103.98 20001
XRF353   94.173.206.53 20001
XRF444   71.40.84.59 20001
XRF555   199.167.193.205 20001
XRF719   199.227.117.121 20001
XRF727   108.33.72.83 20001
XRF777   62.167.15.53 20001
XRF780   96.53.97.22 20001
XRF858   198.57.255.30 20001
XRF901   199.167.193.219 20001
XRF905   199.212.121.20 20001
